Period,PE Ratio
2020-01-31,11.3481
2020-01-30,11.7392
2020-01-29,11.7992
2020-01-28,11.7666
2020-01-27,11.6257
2020-01-24,11.8118
2020-01-23,11.9327
2020-01-22,11.8917
2020-01-21,11.8202
2020-01-17,11.8749
2020-01-16,11.6993
2020-01-15,11.5258
2020-01-14,11.5226
2020-01-13,11.5478
2020-01-10,11.4185
2020-01-09,11.4995
2020-01-08,11.5131
2020-01-07,11.3975
2020-01-06,11.4385
2020-01-03,11.2723
2020-01-02,11.2871
2019-12-31,11.3049
2019-12-30,11.6355
2019-12-27,11.7987
2019-12-26,11.8074
2019-12-24,11.8118
2019-12-23,11.7291
2019-12-20,11.7465
2019-12-19,11.6801
2019-12-18,11.6518
2019-12-17,11.5071
2019-12-16,11.5038
2019-12-13,11.3765
2019-12-12,11.4353
2019-12-11,11.2296
2019-12-10,11.0811
2019-12-09,11.1023
2019-12-06,11.2329
2019-12-05,11.1121
2019-12-04,10.9499
2019-12-03,11.0196
2019-12-02,10.9249
2019-11-29,10.9913
2019-11-27,10.9674
2019-11-26,10.8030
2019-11-25,10.8596
2019-11-22,10.7933
2019-11-21,10.7737
2019-11-20,10.6768
2019-11-19,10.5212
2019-11-18,10.5974
2019-11-15,10.6137
2019-11-14,10.6137
2019-11-13,10.4461
2019-11-12,10.4820
2019-11-11,10.4886
2019-11-08,10.6931
2019-11-07,10.5800
2019-11-06,10.7367
2019-11-05,10.6921
2019-11-04,10.6801
2019-11-01,10.3700
2019-10-31,10.4897
2019-10-30,10.5245
2019-10-29,10.2731
2019-10-28,10.5245
2019-10-25,10.4799
2019-10-24,10.4440
2019-10-23,10.4146
2019-10-22,10.2612
2019-10-21,10.4255
2019-10-18,10.3515
2019-10-17,10.5288
2019-10-16,10.4701
2019-10-15,10.3536
2019-10-14,10.2155
2019-10-11,10.2492
2019-10-10,10.0686
2019-10-09,10.1066
2019-10-08,10.0696
2019-10-07,10.1817
2019-10-04,10.4037
2019-10-03,10.2655
2019-10-02,10.2557
2019-10-01,10.5277
2019-09-30,10.6442
2019-09-27,13.4180
2019-09-26,13.5512
2019-09-25,13.6928
2019-09-24,13.6550
2019-09-23,13.7700
2019-09-20,13.8429
2019-09-19,13.9818
2019-09-18,13.7840
2019-09-17,13.8036
2019-09-16,13.9018
2019-09-13,13.8121
2019-09-12,13.7924
2019-09-11,13.9004
2019-09-10,13.9551
2019-09-09,13.8401
2019-09-06,13.8191
2019-09-05,13.6676
2019-09-04,13.7377
2019-09-03,13.3001
2019-08-30,13.1389
2019-08-29,13.0477
2019-08-28,12.9593
2019-08-27,13.1921
2019-08-26,13.2370
2019-08-23,13.0309
2019-08-22,13.2707
2019-08-21,13.1893
2019-08-20,13.0014
2019-08-19,12.7504
2019-08-16,12.5610
2019-08-15,12.3254
2019-08-14,12.3562
2019-08-13,12.9509
2019-08-12,12.8710
2019-08-09,12.8990
2019-08-08,13.3562
2019-08-07,12.9411
2019-08-06,12.6367
2019-08-05,12.4250
2019-08-02,13.0281
2019-08-01,13.2679
2019-07-31,12.9734
2019-07-30,12.4222
2019-07-29,12.4642
2019-07-26,12.5540
2019-07-25,12.5049
2019-07-24,12.5919
2019-07-23,12.3731
2019-07-22,12.3619
2019-07-19,12.2721
2019-07-18,12.5091
2019-07-17,12.5806
2019-07-16,12.5596
2019-07-15,12.9341
2019-07-12,13.0182
2019-07-11,13.1122
2019-07-10,13.1781
2019-07-09,12.9102
2019-07-08,13.1052
2019-07-05,13.1276
2019-07-03,13.7602
2019-07-02,14.4067
2019-07-01,14.1501
2019-06-30,14.2020
2019-06-28,30.4084
2019-06-27,29.7718
2019-06-26,29.2252
2019-06-25,29.0991
2019-06-24,29.7297
2019-06-21,28.6276
2019-06-20,27.9850
2019-06-19,27.8018
2019-06-18,27.6366
2019-06-17,27.7598
2019-06-14,27.8468
2019-06-13,28.0991
2019-06-12,27.8288
2019-06-11,28.4024
2019-06-10,28.6817
2019-06-07,29.1261
2019-06-06,28.9459
2019-06-05,28.6036
2019-06-04,28.2673
2019-06-03,27.4204
2019-05-31,27.9520
2019-05-30,27.6667
2019-05-29,27.7928
2019-05-28,28.0781
2019-05-24,27.7207
2019-05-23,27.6607
2019-05-22,28.1802
2019-05-21,28.7237
2019-05-20,27.8348
2019-05-17,29.2072
2019-05-16,29.7297
2019-05-15,29.0601
2019-05-14,28.3994
2019-05-13,27.1532
2019-05-10,28.1922
2019-05-09,28.0240
2019-05-08,28.1922
2019-05-07,27.8468
2019-05-06,28.1562
2019-05-03,27.7778
2019-05-02,28.3483
2019-05-01,28.4865
2019-04-30,28.4234
2019-04-29,28.4474
2019-04-26,28.3694
2019-04-25,27.9219
2019-04-24,28.2733
2019-04-23,28.4174
2019-04-22,27.7838
2019-04-18,27.9700
2019-04-17,27.6126
2019-04-16,28.1772
2019-04-15,29.3844
2019-04-12,30.5796
2019-04-11,30.2042
2019-04-10,29.9189
2019-04-09,29.5045
2019-04-08,29.4144
2019-04-05,29.8589
2019-04-04,29.4114
2019-04-03,30.0751
2019-04-02,30.2823
2019-04-01,30.8318
2019-03-31,30.5195
2019-03-29,22.1416
2019-03-28,22.2658
2019-03-27,21.9325
2019-03-26,22.2919
2019-03-25,22.1634
2019-03-22,22.2963
2019-03-21,22.8497
2019-03-20,21.1394
2019-03-19,21.2440
2019-03-18,21.7124
2019-03-15,21.5643
2019-03-14,21.5316
2019-03-13,21.8148
2019-03-12,21.4793
2019-03-11,21.5773
2019-03-08,21.4292
2019-03-07,21.6471
2019-03-06,20.6471
2019-03-05,20.8540
2019-03-04,21.1961
2019-03-01,21.2222
2019-02-28,20.8671
2019-02-27,21.3159
2019-02-26,21.4597
2019-02-25,20.8845
2019-02-22,20.8976
2019-02-21,21.1024
2019-02-20,21.4880
2019-02-19,22.4314
2019-02-15,23.2767
2019-02-14,22.9303
2019-02-13,22.2767
2019-02-12,22.2941
2019-02-11,21.1852
2019-02-08,21.2636
2019-02-07,18.3224
2019-02-06,17.4749
2019-02-05,20.1569
2019-02-04,19.2658
2019-02-01,19.8736
2019-01-31,20.0959
2019-01-30,19.4401
2019-01-29,19.0065
2019-01-28,19.7102
2019-01-25,19.9869
2019-01-24,19.9303
2019-01-23,19.4183
2019-01-22,19.8932
2019-01-18,20.1569
2019-01-17,19.4575
2019-01-16,19.5904
2019-01-15,19.4967
2019-01-14,19.2985
2019-01-11,19.7603
2019-01-10,19.8279
2019-01-09,19.3704
2019-01-08,19.3943
2019-01-07,19.0828
2019-01-04,18.3922
2019-01-03,17.1481
2019-01-02,17.5098
2018-12-31,17.1917
2018-12-28,25.3355
2018-12-27,25.3770
2018-12-26,24.8850
2018-12-24,23.8722
2018-12-21,24.4633
2018-12-20,24.7412
2018-12-19,25.0351
2018-12-18,25.5591
2018-12-17,25.3131
2018-12-14,25.6102
2018-12-13,25.8339
2018-12-12,26.5144
2018-12-11,26.6581
2018-12-10,26.7508
2018-12-07,26.3642
2018-12-06,26.7987
2018-12-04,25.9361
2018-12-03,26.8371
2018-11-30,26.8594
2018-11-29,27.6006
2018-11-28,27.4441
2018-11-27,27.1693
2018-11-26,27.1342
2018-11-23,26.4121
2018-11-21,26.8435
2018-11-20,26.5240
2018-11-19,26.5304
2018-11-16,27.4665
2018-11-15,28.1949
2018-11-14,27.3994
2018-11-13,27.9201
2018-11-12,28.0064
2018-11-09,28.3994
2018-11-08,29.9904
2018-11-07,29.9681
2018-11-06,29.4665
2018-11-05,29.6134
2018-11-02,29.5399
2018-11-01,30.0958
2018-10-31,29.0671
2018-10-30,30.2971
2018-10-29,29.1342
2018-10-26,30.7412
2018-10-25,31.5144
2018-10-24,30.7508
2018-10-23,31.6581
2018-10-22,32.3834
2018-10-19,32.6230
2018-10-18,33.8019
2018-10-17,34.7572
2018-10-16,34.3195
2018-10-15,33.8275
2018-10-12,33.8978
2018-10-11,33.0990
2018-10-10,33.5942
2018-10-09,34.9808
2018-10-08,35.3419
2018-10-05,36.3355
2018-10-04,36.4249
2018-10-03,37.1853
2018-10-02,37.3962
2018-10-01,37.5559
2018-09-30,38.4952
2018-09-28,54.0314
2018-09-27,53.5336
2018-09-26,52.9552
2018-09-25,52.1300
2018-09-24,51.6771
2018-09-21,51.5785
2018-09-20,50.8834
2018-09-19,50.6368
2018-09-18,50.5157
2018-09-17,50.5336
2018-09-14,51.2422
2018-09-13,51.0493
2018-09-12,50.6726
2018-09-11,50.3543
2018-09-10,50.7668
2018-09-07,51.5291
2018-09-06,50.7623
