Date,Open Price,High Price,Low Price,Close Price,Volume
2023-02-17,21.230000,21.230000,21.230000,21.230000,0
2023-02-16,21.230000,21.230000,21.230000,21.230000,0
2023-02-15,21.230000,21.230000,21.230000,21.230000,0
2023-02-14,21.230000,21.230000,21.230000,21.230000,0
2023-02-13,21.230000,21.230000,21.230000,21.230000,0
2023-02-10,21.230000,21.230000,21.230000,21.230000,0
2023-02-09,21.230000,21.230000,21.230000,21.230000,0
2023-02-08,21.230000,21.230000,21.230000,21.230000,0
2023-02-07,21.230000,21.230000,21.230000,21.230000,0
2023-02-06,21.230000,21.230000,21.230000,21.230000,274
2023-02-03,23.040000,23.040000,21.699900,21.699900,489
2023-02-02,22.375000,23.370000,22.375000,23.370000,478
2023-02-01,20.695000,20.695000,20.695000,20.695000,506
2023-01-31,21.100000,21.100000,21.100000,21.100000,0
2023-01-30,21.100000,21.100000,21.100000,21.100000,0
2023-01-27,21.100000,21.100000,21.100000,21.100000,0
2023-01-26,21.100000,21.100000,21.100000,21.100000,0
2023-01-25,21.100000,21.100000,21.100000,21.100000,0
2023-01-24,21.100000,21.100000,21.100000,21.100000,197
2023-01-23,20.199900,20.199900,20.199900,20.199900,0
2023-01-20,20.199900,20.199900,20.199900,20.199900,594
2023-01-19,20.860000,20.860000,20.860000,20.860000,321
2023-01-18,22.100000,22.100000,22.100000,22.100000,0
2023-01-17,22.000000,22.100000,22.000000,22.100000,1608
2023-01-13,23.470000,23.470000,23.470000,23.470000,216
2023-01-12,22.430000,22.430000,21.590000,21.890000,37081
2023-01-11,25.840000,25.840000,22.750000,23.000000,1455
2023-01-10,25.200000,25.475000,25.200000,25.475000,408
2023-01-09,26.750000,26.885000,26.750000,26.885000,509
2023-01-06,28.959300,28.959300,28.959300,28.959300,0
2023-01-05,28.959300,28.959300,28.959300,28.959300,1005
2023-01-04,28.840000,28.840000,28.840000,28.840000,0
2023-01-03,28.950000,28.950000,28.840000,28.840000,514
2022-12-30,27.750000,28.750000,27.750000,28.750000,578
2022-12-29,27.820000,27.820000,27.820000,27.820000,170
2022-12-28,27.755000,27.755000,27.755000,27.755000,620
2022-12-27,26.790000,26.790000,26.790000,26.790000,327
2022-12-23,27.160000,27.160000,27.160000,27.160000,846
2022-12-22,27.550000,27.850000,26.380000,26.380000,853
2022-12-21,27.540000,28.100000,27.540000,28.100000,281
2022-12-20,27.700000,27.700000,27.700000,27.700000,0
2022-12-19,26.870100,27.700000,26.870100,27.700000,1310
2022-12-16,27.400000,27.400000,26.750000,26.750000,743
2022-12-15,27.680000,27.680000,26.919900,26.919900,1306
2022-12-14,29.100000,29.100000,28.630000,28.630000,2294
2022-12-13,28.389900,28.389900,28.389900,28.389900,547
2022-12-12,28.450000,28.450000,28.450000,28.450000,297
2022-12-09,28.300000,28.300000,28.300000,28.300000,0
2022-12-08,28.300000,28.300000,28.300000,28.300000,1539
2022-12-07,29.485000,29.495000,28.100100,28.100100,2038
2022-12-06,27.550000,27.550000,27.550000,27.550000,319
2022-12-05,29.700000,30.240000,29.700000,30.240000,767
2022-12-02,29.850000,29.850000,29.850000,29.850000,1327
2022-12-01,28.790000,28.790000,27.620000,27.620000,289
2022-11-30,27.297290,27.297290,27.297290,27.297290,1434
2022-11-29,26.450000,26.450000,26.450000,26.450000,352
2022-11-28,27.565000,27.565000,26.880000,26.880000,455
2022-11-25,27.115000,27.115000,27.115000,27.115000,0
2022-11-23,26.650000,27.150000,26.650000,27.115000,1488
2022-11-22,25.590000,25.590000,25.590000,25.590000,0
2022-11-21,26.200000,26.200000,25.590000,25.590000,757
2022-11-18,26.785000,26.785000,26.785000,26.785000,0
2022-11-17,26.039900,26.785000,26.039900,26.785000,593
2022-11-16,26.499900,27.350000,26.499900,27.290000,573
2022-11-15,28.840000,28.840000,27.870000,28.665000,1336
2022-11-14,28.850000,28.850000,27.950000,27.950000,1773
2022-11-11,28.100000,28.100000,26.799900,26.799900,725
2022-11-10,25.049900,27.020000,25.049900,27.000000,754
2022-11-09,25.755000,25.755000,25.755000,25.755000,364
2022-11-08,26.780000,27.170000,26.780000,27.170000,457
2022-11-07,27.650000,27.700000,27.650000,27.700000,454
2022-11-04,26.570000,26.570000,26.570000,26.570000,294
2022-11-03,26.480000,26.930000,25.919900,26.930000,1233
2022-11-02,26.160000,26.160000,26.160000,26.160000,291
2022-11-01,27.570000,27.570000,26.149900,26.149900,403
2022-10-31,26.229900,27.415600,26.000000,26.000000,11769
2022-10-28,26.425000,26.425000,26.425000,26.425000,579
2022-10-27,26.295000,26.295000,24.700000,24.700000,477
2022-10-26,26.855000,26.855000,26.810000,26.810000,576
2022-10-25,27.550000,27.550000,27.000000,27.000000,695
2022-10-24,26.605000,26.605000,26.605000,26.605000,300
2022-10-21,25.099900,26.450000,25.099900,26.450000,956
2022-10-20,26.300000,26.300000,25.905000,25.905000,520
