Period,PE Ratio
2020-01-31,21.4828
2020-01-30,22.3889
2020-01-29,22.7981
2020-01-28,23.0775
2020-01-27,22.5497
2020-01-24,23.1494
2020-01-23,23.0319
2020-01-22,22.6812
2020-01-21,22.9625
2020-01-17,22.7233
2020-01-16,23.0179
2020-01-15,23.0296
2020-01-14,22.8566
2020-01-13,23.2880
2020-01-10,23.2950
2020-01-09,23.0904
2020-01-08,23.2658
2020-01-07,22.8595
2020-01-06,23.2658
2020-01-03,23.3827
2020-01-02,23.9848
2019-12-31,23.6054
2019-12-30,27.6892
2019-12-27,28.1398
2019-12-26,27.5410
2019-12-24,27.3122
2019-12-23,27.7683
2019-12-20,27.2776
2019-12-19,27.7628
2019-12-18,28.1079
2019-12-17,28.8884
2019-12-16,28.9750
2019-12-13,28.3477
2019-12-12,29.1101
2019-12-11,29.2488
2019-12-10,29.3874
2019-12-09,28.5979
2019-12-06,27.2117
2019-12-05,28.4864
2019-12-04,28.5418
2019-12-03,28.0774
2019-12-02,27.4585
2019-11-29,26.9615
2019-11-27,26.9615
2019-11-26,26.9872
2019-11-25,27.1348
2019-11-22,26.3759
2019-11-21,27.0222
2019-11-20,27.3545
2019-11-19,27.0308
2019-11-18,26.6419
2019-11-15,26.2719
2019-11-14,26.5630
2019-11-13,26.8576
2019-11-12,26.9823
2019-11-11,26.5803
2019-11-08,26.7397
2019-11-07,26.7397
2019-11-06,26.6150
2019-11-05,27.4240
2019-11-04,27.4467
2019-11-01,27.7212
2019-10-31,25.7438
2019-10-30,24.3278
2019-10-29,23.7040
2019-10-28,23.6319
2019-10-25,23.6277
2019-10-24,24.4317
2019-10-23,24.3201
2019-10-22,24.5010
2019-10-21,24.7090
2019-10-18,24.6993
2019-10-17,24.9862
2019-10-16,25.6100
2019-10-15,25.7937
2019-10-14,25.6447
2019-10-11,25.8609
2019-10-10,25.8179
2019-10-09,26.3724
2019-10-08,26.0570
2019-10-07,26.1645
2019-10-04,26.5332
2019-10-03,26.3301
2019-10-02,25.9656
2019-10-01,25.4638
2019-09-30,25.7833
2019-09-27,28.2316
2019-09-26,28.2599
2019-09-25,28.2599
2019-09-24,28.4799
2019-09-23,29.2702
2019-09-20,29.5991
2019-09-19,29.5834
2019-09-18,28.9310
2019-09-17,28.9310
2019-09-16,28.3896
2019-09-13,28.8937
2019-09-12,28.6439
2019-09-11,28.6327
2019-09-10,28.8806
2019-09-09,29.1949
2019-09-06,29.0801
2019-09-05,28.9310
2019-09-04,28.9049
2019-09-03,28.6282
2019-08-30,27.8722
2019-08-29,28.0944
2019-08-28,28.2368
2019-08-27,27.7611
2019-08-26,27.9147
2019-08-23,28.2641
2019-08-22,27.8610
2019-08-21,28.2599
